flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
中国国际航空CA1316,空客A350-900(大),18:55,22:00,3h5m,白云机场T1,首都机场T3,有小食,¥10080,公务舱
中国国际航空CA1340,空客A350-900(大),19:30,22:50,3h20m,白云机场T1,首都机场T3,有小食,¥3360,高端经济舱
中国联合航空KN5900,空客A330-33L(大),19:55,23:00,3h5m,白云机场T1,大兴机场,无餐食,¥1390,6.1折经济舱
南方航空CZ3161,空客A350(大),20:00,23:00,3h0m,白云机场T2,大兴机场,有小食,¥1750,5.8折经济舱
海南航空HU7814,波音B787-9(大),20:00,23:15,3h15m,白云机场T1,首都机场T2,点心餐,¥3060,超级经济舱
海南航空HU7816,波音787-8(大),21:00,00:10,3h10m,白云机场T1,首都机场T2,点心餐,¥3160,3.2折公务舱
海航旗下首都航空JD5922,空客321(中),21:15,00:15,3h0m,白云机场T1,大兴机场,无餐食,¥880,首惠经济舱
厦门航空MF8340,波音737-800(中),21:15,00:10,2h55m,白云机场T2,大兴机场,有小食,¥890,3.6折经济舱
东方航空MU6310,空客A330-33L(大),21:20,00:10,2h50m,白云机场T1,大兴机场,无餐食,¥1110,3.7折经济舱
中国国际航空CA1328,波音777-300(大),21:20,00:35,3h15m,白云机场T1,首都机场T3,有小食,¥2420,2.5折公务舱
